SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude
278,Phosphate,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
279,TSS,mg/l,Nov,2018,7.0,CPCB,30.6921376,76.7361159
280,TDS,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
281,FS,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
282,Turbidity,NTU,Nov,2018,,CPCB,30.6921376,76.7361159
283,TH as CaCO3,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
284,Ca as CaCO3,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
285,Mg as CaCO3,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
286,Sulphate,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
287,Chloride,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
288,Total alkalinity as CaCO3,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
289,P-Alkalinity,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
290,Fluoride,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
291,Colour,Hazen,Nov,2018,,CPCB,30.6921376,76.7361159
292,Boron(B),mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
293,TKN,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
294,Potassium,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
295,Sodium,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
296,Total Coliform,MPN/100ml,Nov,2018,8E+4,CPCB,30.6921376,76.7361159
297,Faecal Coliform,MPN/100ml,Nov,2018,4.5E+4,CPCB,30.6921376,76.7361159
298,pH,-,Dec,2018,7.3,CPCB,30.6921376,76.7361159
299,Conductivity,µs/cm,Dec,2018,,CPCB,30.6921376,76.7361159
300,DO,mg/l,Dec,2018,3.6,CPCB,30.6921376,76.7361159
301,COD,mg/l,Dec,2018,28.0,CPCB,30.6921376,76.7361159
302,BOD,mg/l,Dec,2018,9.0,CPCB,30.6921376,76.7361159
303,NO3-N,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
